[WhysTreeGenerator] analyzePathInsights - Successfully parsed JSON
7:02:13 PM [express] POST /api/strategic-consultant/whys-tree/finalize 200 in 15148ms :: {"rootCause…
7:02:13 PM [express] GET /api/background-jobs 304 in 85ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:14 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:14 PM [express] GET /api/background-jobs 304 in 155ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807…
7:02:17 PM [express] GET /api/background-jobs 304 in 85ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:17 PM [express] GET /api/background-jobs 304 in 87ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:18 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:20 PM [express] GET /api/background-jobs 304 in 86ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:21 PM [express] GET /api/background-jobs 304 in 228ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807…
7:02:23 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:24 PM [express] GET /api/background-jobs 304 in 85ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:26 PM [express] GET /api/auth/user 304 in 69ms :: {"id":"47253622","email":"saleh.hamed@gmail.c…
7:02:26 PM [express] GET /api/programs 304 in 68ms :: []
7:02:26 PM [express] GET /api/session-context 304 in 141ms :: {"id":"36d7b8bc-3de2-4c7b-bbaf-981d9eb…
7:02:26 PM [express] GET /api/background-jobs 304 in 175ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807…
7:02:27 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:28 PM [express] GET /api/background-jobs 304 in 86ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:30 PM [express] GET /api/background-jobs 304 in 86ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:30 PM [express] GET /api/background-jobs 304 in 85ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:31 PM [express] GET /api/background-jobs 304 in 87ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:33 PM [express] GET /api/background-jobs 304 in 86ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:34 PM [express] GET /api/background-jobs 304 in 85ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:35 PM [express] GET /api/background-jobs 304 in 85ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:36 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:37 PM [express] GET /api/background-jobs 304 in 87ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:38 PM [express] GET /api/background-jobs 304 in 84ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:40 PM [express] GET /api/background-jobs 304 in 155ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807…
7:02:40 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:41 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:43 PM [express] GET /api/background-jobs 304 in 92ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:44 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:45 PM [express] GET /api/background-jobs 304 in 98ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:46 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:47 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:48 PM [express] GET /api/background-jobs 304 in 218ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807…
7:02:50 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:52 PM [express] GET /api/background-jobs 304 in 86ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:53 PM [express] GET /api/auth/user 304 in 65ms :: {"id":"47253622","email":"saleh.hamed@gmail.c…
7:02:53 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:53 PM [express] GET /api/session-context 304 in 141ms :: {"id":"36d7b8bc-3de2-4c7b-bbaf-981d9eb…
7:02:53 PM [express] GET /api/programs 304 in 142ms :: []
7:02:54 PM [express] GET /api/background-jobs 304 in 90ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:55 PM [express] GET /api/background-jobs 304 in 90ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:56 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:57 PM [express] GET /api/background-jobs 304 in 86ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:02:58 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:00 PM [express] GET /api/background-jobs 304 in 93ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:00 PM [express] GET /api/background-jobs 304 in 87ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:02 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:03 PM [express] GET /api/background-jobs 304 in 88ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:04 PM [express] GET /api/background-jobs 304 in 87ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:05 PM [express] GET /api/background-jobs 304 in 91ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:06 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:07 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:08 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:10 PM [express] GET /api/background-jobs 304 in 89ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:11 PM [express] GET /api/background-jobs 304 in 91ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
7:03:12 PM [express] GET /api/background-jobs 304 in 90ms :: {"jobs":[{"id":"ec378828-96d9-40c9-807f…
